DAY,Politics(정치),Military(군사),Economy(경제),Society(사회),Information(정보),Infrastructure(인프라),type,event_description
2024-12-15,50.0,50.0,50.0,50.0,50.0,50.0,timeseries,
2024-12-31,41.8032787,69.48775055,55.9743384,60.0,48.45143125,78.57142855000001,timeseries,
2025-1-15,40.573770499999995,89.64365255,41.820368900000005,64.3529412,71.44533085,100.0,timeseries,
2025-1-31,33.19672129999999,80.233853,31.6359262,56.3529412,73.43500705,86.57142855000001,timeseries,
2025-2-15,30.73770490000001,68.31848550000001,27.185244600000004,53.6470588,73.20272175,72.20408164999999,timeseries,
2025-2-28,28.278688499999987,61.8596882,35.324779449999994,51.29411765,71.44533085,64.40816325,timeseries,
2025-3-15,24.590163950000004,57.18262805,20.5693665,49.411764700000006,71.44533085,58.7346939,timeseries,
2025-3-31,23.770491799999988,49.4988864,13.071371299999996,38.8235294,70.17832005,43.02040815,timeseries,
2025-4-15,6.5573770499999995,29.287305099999998,7.137129099999996,18.235294100000004,92.34608165,15.469387749999996,timeseries,
2025-4-30,9.83606555,32.4053452,19.165998399999992,12.352941200000004,89.25715625000001,19.836734700000008,timeseries,
2025-5-15,14.344262299999997,39.309576850000006,15.196471549999998,16.235294100000004,96.0,31.714285700000005,timeseries,
2025-5-31,16.3934426,43.7639198,35.80593425000001,19.52941175000001,78.20272175,39.2653061,timeseries,
2025-6-15,0.8196721500000024,0.0,9.422614249999995,0.0,83.43500705,5.428571450000007,timeseries,
2025-6-30,0.0,19.6547884,14.03368085000001,5.764705899999996,71.44533085,22.979591850000006,timeseries,
2025-7-15,2.0491803500000003,27.783964350000005,19.326383300000003,13.529411749999994,66.21304549999999,45.1020408,timeseries,
2025-7-31,2.0491803500000003,36.97104675,0.0,11.176470600000002,61.6846551,47.1020408,timeseries,
2024-12-3,,,,,,,event,계엄 선포
2024-12-4,,,,,,,event,계엄 해제
2024-12-14,,,,,,,event,윤석열 대통령 탄핵소추안 가결
2025-01-15,,,,,,,event,윤석열 대통령 체포
2025-02-20,,,,,,,event,의료대란 8개월 지속
2025-04-04,,,,,,,event,헌재 윤석열 대통령 파면 결정
2025-05-06,,,,,,,event,사회갈등지수 위험 수위
2025-06-20,,,,,,,event,사이버 보안 사고 증가
2025-01-21,,,,,,,event,윤석열 대통령 탄핵심판 출석
2025-03-26,,,,,,,event,이재명 선거법 위반 2심 무죄
2025-04-08,,,,,,,event,6월 3일 대선일 확정
2025-04-27,,,,,,,event,이재명 더불어민주당 대선 후보 확정
2025-06-03,,,,,,,event,제21대 대통령 선거 실시
2025-06-04,,,,,,,event,이재명 대통령 취임
2025-06-05,,,,,,,event,3대 특검법 처리
2024-12-07,,,,,,,event,첫 번째 탄핵소추안 무산
2024-12-27,,,,,,,event,한덕수 총리 탄핵소추안 가결
2025-01-19,,,,,,,event,윤석열 대통령 구속영장 발부
2025-07-10,,,,,,,event,윤석열 전 대통령 재구속
